station_complex,year,month,day_type,ridership
Flushing-Main St (7),2024,2024-06-01,2,310687
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-01-01,2,172436
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-11-01,2,121940
"Grand Central-42 St (S,4,5,6,7)",2022,2022-07-01,2,360375
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-09-01,2,210858
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-03-01,2,194041
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-08-01,2,167710
Flushing-Main St (7),2021,2021-01-01,2,123239
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-01-01,2,262711
"34 St-Penn Station (A,C,E)",2024,2024-06-01,2,367909
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-04-01,2,881251
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-09-01,2,495410
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-10-01,2,222201
"34 St-Penn Station (A,C,E)",2021,2021-07-01,2,212376
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-02-01,2,145514
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2020,2020-12-01,2,62521
"34 St-Penn Station (1,2,3)",2020,2020-09-01,2,87488
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-10-01,2,134149
"Grand Central-42 St (S,4,5,6,7)",2023,2023-07-01,2,494281
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-02-01,2,98802
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-05-01,2,247422
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-09-01,2,354291
Flushing-Main St (7),2021,2021-11-01,2,180154
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-06-01,2,343446
Flushing-Main St (7),2022,2022-01-01,2,161226
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-12-01,2,268032
"Grand Central-42 St (S,4,5,6,7)",2020,2020-12-01,2,95488
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-01-01,2,374465
"Grand Central-42 St (S,4,5,6,7)",2023,2023-09-01,2,450566
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-12-01,2,206784
Flushing-Main St (7),2022,2022-10-01,2,250691
