station_complex,month,day_type,ridership,lines
"135 St (C,B)",12,weekend,14331.5,"C,B"
137 St-City College (1),1,weekday,155060.0,1
137 St-City College (1),1,weekend,37179.0,1
137 St-City College (1),2,weekday,169768.33333333334,1
137 St-City College (1),2,weekend,33756.666666666664,1
137 St-City College (1),3,weekday,200197.33333333334,1
137 St-City College (1),3,weekend,42591.666666666664,1
137 St-City College (1),4,weekday,173998.66666666666,1
137 St-City College (1),4,weekend,38450.666666666664,1
137 St-City College (1),5,weekday,187323.0,1
137 St-City College (1),5,weekend,40047.333333333336,1
137 St-City College (1),6,weekday,162232.0,1
137 St-City College (1),6,weekend,43508.666666666664,1
137 St-City College (1),7,weekday,149269.33333333334,1
137 St-City College (1),7,weekend,55692.0,1
